g[19/10/2021 02:35:02] Program started
[19/10/2021 02:35:34] Program started
[19/10/2021 02:36:09] Program started
[19/10/2021 02:41:37] Program started
[19/10/2021 02:44:28] Program started
[19/10/2021 02:45:00] Program started
[19/10/2021 02:45:00] Key pressed: 'a'
[19/10/2021 02:45:00] Key pressed: 'd'
[19/10/2021 02:45:00] Key pressed: 'f'
[19/10/2021 02:45:00] Key pressed: 'a'
[19/10/2021 02:45:00] Key pressed: 's'
[19/10/2021 02:45:00] Key pressed: 'd'
[19/10/2021 02:45:00] Key pressed: 'f'
[19/10/2021 02:45:00] Key pressed: 'a'
[19/10/2021 02:45:00] Key pressed: 's'
[19/10/2021 02:45:00] Key pressed: 'd'
[19/10/2021 02:45:00] Key pressed: 'f'
[19/10/2021 02:45:00] Key pressed: 'q'
[19/10/2021 02:45:00] Key pressed: 'w'
[19/10/2021 02:45:00] Key pressed: 'e'
[19/10/2021 02:45:00] Key pressed: 'q'
[19/10/2021 02:45:00] Key pressed: 'w'
[19/10/2021 02:45:00] Key pressed: 'e'
